"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          95,      -6.199822651,      -6.166043737,      -6.382308031,      -6.316582622,      -5.575014441,      -9.462194777
          0,           0,          96,       -6.21387233,       -6.17402116,      -6.389845041,      -6.322548787,      -5.588904725,      -9.464387948
          0,           0,          97,      -6.230198528,      -6.181939641,      -6.397467654,      -6.328465334,      -5.604957611,      -9.466575337
          0,           0,          98,      -6.246315359,       -6.18996132,      -6.405328676,      -6.334595822,      -5.620877645,      -9.468749756
          0,           0,          99,      -6.262209977,      -6.197947909,      -6.413377008,      -6.341029483,      -5.636589197,      -9.470859557
          0,           0,         100,      -6.278035544,      -6.205714516,      -6.421562451,      -6.347564887,      -5.652217377,      -9.472897662
          0,           0,         101,      -6.293625715,      -6.213459695,      -6.429898918,      -6.354432486,      -5.667626203,      -9.475060605
          0,           0,         102,      -6.309291255,      -6.221156509,      -6.438341061,      -6.361701988,       -5.68314439,      -9.476903278
          0,           0,         103,       -6.32422452,      -6.228859573,       -6.44690699,      -6.369145535,       -5.69797889,      -9.478698803
          0,           0,         104,      -6.338319598,      -6.236439888,      -6.455548551,        -6.3766614,      -5.711993647,      -9.480316725
          0,           0,         105,       -6.35173359,      -6.243801751,      -6.464248362,       -6.38426237,      -5.725310556,       -9.48181637
          0,           0,         106,      -6.364483753,      -6.250957855,      -6.472974576,      -6.392076847,      -5.737969592,      -9.483238111
          0,           0,         107,       -6.37734265,       -6.25788333,      -6.481698358,      -6.400046508,      -5.750742074,      -9.484589172
          0,           0,         108,      -6.389090993,      -6.264640827,      -6.490404014,      -6.408182058,      -5.762502287,      -9.485871353
          0,           0,         109,      -6.399343769,      -6.271307097,      -6.499050923,      -6.416438912,      -5.772835454,      -9.487115938
          0,           0,         110,       -6.40770099,      -6.277901582,      -6.507626657,      -6.424624773,       -5.78129087,      -9.488427963
          0,           0,         111,      -6.414418135,      -6.284181438,      -6.516031639,      -6.432718775,      -5.788153471,      -9.489572876
          0,           0,         112,      -6.419426002,      -6.290100499,      -6.524211049,       -6.44061114,      -5.793350771,      -9.490666404
          0,           0,         113,      -6.423717778,      -6.295812795,      -6.532182031,      -6.448296525,      -5.797812285,      -9.491733082
          0,           0,         114,      -6.427675828,      -6.301387458,      -6.539915183,      -6.455707384,      -5.801885696,      -9.492797249
          0,           0,         115,      -6.431757745,      -6.306830174,      -6.547393488,      -6.462931488,      -5.806016147,      -9.493852242
          0,           0,         116,      -6.436023918,      -6.312166163,       -6.55460031,      -6.469858746,      -5.810310903,      -9.494921325
          0,           0,         117,      -6.440907893,      -6.317363238,      -6.561514569,       -6.47645409,      -5.815186483,      -9.496038074
          0,           0,         118,       -6.45318479,      -6.322571619,      -6.568092786,      -6.483308925,      -5.827207898,      -9.497207059
          0,           0,         119,       -6.46265199,      -6.328293328,      -6.574556864,      -6.490114287,      -5.836800274,      -9.498452424
          0,           0,         120,      -6.470417125,      -6.333861876,      -6.580734036,       -6.49638507,      -5.844711508,      -9.499797973
          0,           0,         121,      -6.478386039,      -6.339153299,      -6.586568149,      -6.502394073,      -5.852700104,      -9.501266651
          0,           0,         122,      -6.485789884,      -6.344197974,       -6.59207404,      -6.507907774,      -5.860092335,      -9.502849688
          0,           0,         123,      -6.493775218,      -6.349059046,      -6.597240296,      -6.512958086,      -5.867994039,      -9.504547453
          0,           0,         124,      -6.501811168,      -6.353831039,      -6.602142136,      -6.517727269,      -5.875914461,      -9.506379746
          0,           0,         125,      -6.510239943,      -6.358447812,      -6.606789222,      -6.522409588,      -5.884222249,      -9.508343308
          0,           0,         126,      -6.518761751,      -6.362822014,      -6.611241368,      -6.526848178,       -5.89261417,      -9.510427152
          0,           0,         127,      -6.527138478,      -6.367019365,      -6.615555626,      -6.531070662,      -5.900883995,      -9.512614622
          0,           0,         128,      -6.535549893,       -6.37111533,      -6.619787659,      -6.535103473,      -5.909212244,       -9.51489351
          0,           0,         129,      -6.544263341,      -6.375049315,      -6.623942991,      -6.538964815,      -5.917819394,      -9.517255632
          0,           0,         130,      -6.553261914,      -6.378970575,      -6.628056708,      -6.543059722,      -5.926713272,      -9.519690475
          0,           0,         131,      -6.562962443,      -6.382995044,      -6.632181879,      -6.547208849,       -5.93632193,      -9.522161451
          0,           0,         132,      -6.573300146,      -6.387096178,      -6.636354635,      -6.551472082,      -5.946585698,      -9.524674401
          0,           0,         133,      -6.584234401,      -6.391235345,      -6.640603171,      -6.555822847,       -5.95746875,      -9.527211486
          0,           0,         134,      -6.594062021,      -6.395304638,      -6.644962255,      -6.560207437,       -5.96733472,      -9.529767776
          0,           0,         135,      -6.608508773,      -6.399222096,      -6.649393756,      -6.564662756,      -5.981516374,      -9.532326141
          0,           0,         136,      -6.623495708,      -6.403188052,      -6.654057235,      -6.569420005,      -5.996360248,      -9.534840648
          0,           0,         137,      -6.635343893,      -6.407124457,      -6.658930136,      -6.574477331,      -6.008284089,      -9.537340591
          0,           0,         138,      -6.645507959,      -6.411029662,      -6.663862354,      -6.579585824,      -6.018521742,      -9.539792343
          0,           0,         139,      -6.653776991,      -6.414775363,      -6.668831133,      -6.584633337,      -6.026823674,      -9.542198012
          0,           0,         140,      -6.660805693,      -6.418367494,      -6.673824908,      -6.589633839,      -6.033832771,       -9.54458481
          0,           0,         141,      -6.667453463,      -6.421856205,       -6.67884489,      -6.594724462,      -6.040412799,      -9.546963704
          0,           0,         142,      -6.673717659,      -6.425368103,      -6.683920633,      -6.600017521,      -6.046610362,      -9.549345476
          0,           0,         143,       -6.68007935,        -6.4289292,      -6.689050465,      -6.605426649,      -6.052952516,      -9.551741647
          0,           0,         144,      -6.686050695,      -6.432557681,      -6.694235898,      -6.610921788,      -6.058979328,      -9.554160426
          0,           0,         145,      -6.691936865,      -6.436155865,      -6.699433206,       -6.61648765,      -6.064940379,      -9.556597513
          0,           0,         146,      -6.697615665,      -6.439748626,      -6.704620517,       -6.62200043,      -6.070715533,      -9.559047889
          0,           0,         147,      -6.702666569,      -6.443271788,      -6.709774668,      -6.627458202,      -6.075841575,      -9.561512058
          0,           0,         148,      -6.707604997,        -6.4466946,      -6.714855469,      -6.632826238,      -6.080780827,      -9.563976095
          0,           0,         149,      -6.712566481,      -6.450049589,      -6.719854079,      -6.638123236,      -6.085690643,      -9.566425727
          0,           0,         150,       -6.71758653,        -6.4533386,      -6.724756424,      -6.643356994,      -6.090648287,      -9.568864038
          0,           0,         151,       -6.72306412,      -6.456564947,      -6.729542767,      -6.648536336,       -6.09604006,      -9.571295862
          0,           0,         152,       -6.72971198,      -6.459776436,      -6.734210181,      -6.653657551,      -6.102553454,      -9.573737251
          0,           0,         153,      -6.739272754,      -6.462961701,      -6.738777133,      -6.658729054,      -6.111867854,      -9.576205796
          0,           0,         154,      -6.750627751,      -6.466230595,      -6.743301467,      -6.663812213,      -6.123032103,      -9.578719095
          0,           0,         155,      -6.760024397,      -6.469593191,      -6.747790435,      -6.668929186,      -6.132452211,      -9.581297208
          0,           0,         156,      -6.768610586,      -6.472885063,      -6.752131483,      -6.673848153,      -6.141025627,      -9.583924446
          0,           0,         157,      -6.777241122,      -6.476108879,       -6.75632649,      -6.678593465,      -6.149560456,       -9.58659066
          0,           0,         158,      -6.785705585,      -6.479314834,       -6.76041117,      -6.683221688,      -6.157915936,      -9.589289598
          0,           0,         159,      -6.794460904,      -6.482514856,      -6.764403744,      -6.687730747,      -6.166540504,      -9.592011957
          0,           0,         160,      -6.803631602,      -6.485723678,      -6.768327703,      -6.692141471,       -6.17556835,       -9.59476477
          0,           0,         161,      -6.813125617,      -6.488946668,      -6.772196663,      -6.696493831,      -6.184921475,      -9.597544313
          0,           0,         162,      -6.823069792,      -6.492204013,      -6.776027042,      -6.700856631,      -6.194737045,      -9.600346738
          0,           0,         163,      -6.833703319,      -6.495484613,      -6.779847351,      -6.705217581,      -6.205240822,      -9.603167611
          0,           0,         164,      -6.845164745,      -6.498777188,       -6.78367205,      -6.709546905,      -6.216562842,      -9.605998875
          0,           0,         165,      -6.857215958,      -6.502077763,      -6.787518759,      -6.713902718,      -6.228486015,      -9.608834541
          0,           0,         166,      -6.868699684,      -6.505379594,      -6.791395046,      -6.718244877,      -6.239910852,      -9.611665744
          0,           0,         167,      -6.879441249,        -6.5086742,       -6.79528978,      -6.722548129,      -6.250622689,        -9.6144864
          0,           0,         168,      -6.889872156,      -6.511962248,      -6.799199002,      -6.726792724,      -6.261003907,      -9.617294502
          0,           0,         169,      -6.900001744,      -6.515238998,      -6.803130421,      -6.731010584,      -6.271073993,      -9.620087236
          0,           0,         170,      -6.910266951,      -6.518506644,      -6.807090456,      -6.735226782,      -6.281262229,      -9.622865557
