Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
2.79023,-0.0227253,,,,,,,,,,,,,,,,,,,,,,,
2.88742,-0.0222047,,,,,,,,,,,,,,,,,,,,,,,
2.98973,-0.0216572,,,,,,,,,,,,,,,,,,,,,,,
3.09742,-0.0210836,,,,,,,,,,,,,,,,,,,,,,,
3.21079,-0.0204849,,,,,,,,,,,,,,,,,,,,,,,
3.33011,-0.0198625,,,,,,,,,,,,,,,,,,,,,,,
3.45572,-0.0192183,,,,,,,,,,,,,,,,,,,,,,,
3.58794,-0.0185544,,,,,,,,,,,,,,,,,,,,,,,
3.72712,-0.0178733,,,,,,,,,,,,,,,,,,,,,,,
3.87362,-0.0171779,,,,,,,,,,,,,,,,,,,,,,,
4.02783,-0.0164715,,,,,,,,,,,,,,,,,,,,,,,
4.19017,-0.0157574,,,,,,,,,,,,,,,,,,,,,,,
4.36104,-0.0150396,,,,,,,,,,,,,,,,,,,,,,,
4.54091,-0.0143219,,,,,,,,,,,,,,,,,,,,,,,
4.73024,-0.0136083,,,,,,,,,,,,,,,,,,,,,,,
4.92954,-0.0129033,,,,,,,,,,,,,,,,,,,,,,,
5.13933,-0.0122105,,,,,,,,,,,,,,,,,,,,,,,
5.36016,-0.0115347,,,,,,,,,,,,,,,,,,,,,,,
5.59261,-0.0108788,,,,,,,,,,,,,,,,,,,,,,,
5.8373,-0.0102478,,,,,,,,,,,,,,,,,,,,,,,
6.09486,-0.00964244,,,,,,,,,,,,,,,,,,,,,,,
6.36598,-0.00906942,,,,,,,,,,,,,,,,,,,,,,,
6.65138,-0.00852327,,,,,,,,,,,,,,,,,,,,,,,
6.95179,-0.00801688,,,,,,,,,,,,,,,,,,,,,,,
7.26801,-0.00752891,,,,,,,,,,,,,,,,,,,,,,,
7.60088,-0.00709327,,,,,,,,,,,,,,,,,,,,,,,
7.95126,-0.0066496,,,,,,,,,,,,,,,,,,,,,,,
8.32009,-0.00630532,,,,,,,,,,,,,,,,,,,,,,,
8.70833,-0.0059107,,,,,,,,,,,,,,,,,,,,,,,
9.117,-0.00597037,,,,,,,,,,,,,,,,,,,,,,,
9.54718,-0.00591819,,,,,,,,,,,,,,,,,,,,,,,
-0.937857,0.0204825,,,,,,,,,,,,,,,,,,,,,,,
-0.879342,0.020709,,,,,,,,,,,,,,,,,,,,,,,
-0.824037,0.0208076,,,,,,,,,,,,,,,,,,,,,,,
-0.77158,0.020898,,,,,,,,,,,,,,,,,,,,,,,
-0.721656,0.0209832,,,,,,,,,,,,,,,,,,,,,,,
-0.67399,0.021058,,,,,,,,,,,,,,,,,,,,,,,
-0.628342,0.0211251,,,,,,,,,,,,,,,,,,,,,,,
-0.584496,0.0211857,,,,,,,,,,,,,,,,,,,,,,,
-0.542264,0.0212403,,,,,,,,,,,,,,,,,,,,,,,
-0.501476,0.0212897,,,,,,,,,,,,,,,,,,,,,,,
-0.461978,0.0213343,,,,,,,,,,,,,,,,,,,,,,,
-0.423634,0.0213746,,,,,,,,,,,,,,,,,,,,,,,
-0.386318,0.0214108,,,,,,,,,,,,,,,,,,,,,,,
-0.349915,0.0214434,,,,,,,,,,,,,,,,,,,,,,,
-0.31432,0.0214727,,,,,,,,,,,,,,,,,,,,,,,
-0.279435,0.0214987,,,,,,,,,,,,,,,,,,,,,,,
-0.24517,0.0215218,,,,,,,,,,,,,,,,,,,,,,,
-0.21144,0.0215422,,,,,,,,,,,,,,,,,,,,,,,
-0.178164,0.0215598,,,,,,,,,,,,,,,,,,,,,,,
-0.145266,0.0215749,,,,,,,,,,,,,,,,,,,,,,,
-0.112673,0.0215876,,,,,,,,,,,,,,,,,,,,,,,
-0.0803147,0.021598,,,,,,,,,,,,,,,,,,,,,,,
-0.0481227,0.021606,,,,,,,,,,,,,,,,,,,,,,,
-0.0160299,0.0216118,,,,,,,,,,,,,,,,,,,,,,,
0.0160299,0.0216153,,,,,,,,,,,,,,,,,,,,,,,
0.0481227,0.0216166,,,,,,,,,,,,,,,,,,,,,,,
0.0803147,0.0216157,,,,,,,,,,,,,,,,,,,,,,,
0.112673,0.0216125,,,,,,,,,,,,,,,,,,,,,,,
0.145266,0.021607,,,,,,,,,,,,,,,,,,,,,,,
0.178164,0.0215991,,,,,,,,,,,,,,,,,,,,,,,
0.21144,0.0215888,,,,,,,,,,,,,,,,,,,,,,,
0.24517,0.0215759,,,,,,,,,,,,,,,,,,,,,,,
0.279435,0.0215604,,,,,,,,,,,,,,,,,,,,,,,
0.31432,0.021542,,,,,,,,,,,,,,,,,,,,,,,
0.349915,0.0215206,,,,,,,,,,,,,,,,,,,,,,,
0.386318,0.0214961,,,,,,,,,,,,,,,,,,,,,,,
0.423634,0.0214681,,,,,,,,,,,,,,,,,,,,,,,
0.461978,0.0214365,,,,,,,,,,,,,,,,,,,,,,,
0.501476,0.0214007,,,,,,,,,,,,,,,,,,,,,,,
0.542264,0.0213608,,,,,,,,,,,,,,,,,,,,,,,
0.584496,0.0213158,,,,,,,,,,,,,,,,,,,,,,,
0.628342,0.021266,,,,,,,,,,,,,,,,,,,,,,,
0.67399,0.0212096,,,,,,,,,,,,,,,,,,,,,,,
0.721656,0.0211482,,,,,,,,,,,,,,,,,,,,,,,
0.77158,0.0210771,,,,,,,,,,,,,,,,,,,,,,,
0.824037,0.0210032,,,,,,,,,,,,,,,,,,,,,,,
