"       ""CD""      0.","       ""CL""       ",,,,,,,,,
0.072177202,1.452690931,,,,,,,,,
0.072216425,1.452420175,,,,,,,,,
0.072254383,1.452152932,,,,,,,,,
0.072290927,1.451888816,,,,,,,,,
0.072326066,1.451627794,,,,,,,,,
0.07235998,1.451370112,,,,,,,,,
0.072392814,1.451116189,,,,,,,,,
0.072424773,1.45086641,,,,,,,,,
0.072456012,1.450621058,,,,,,,,,
0.072486742,1.450380502,,,,,,,,,
0.072516994,1.450144841,,,,,,,,,
0.072546786,1.449914077,,,,,,,,,
0.07257612,1.449688361,,,,,,,,,
0.072604967,1.449467701,,,,,,,,,
0.072633245,1.449251959,,,,,,,,,
0.072660857,1.44904097,,,,,,,,,
0.072687731,1.448834713,,,,,,,,,
0.072713786,1.448633218,,,,,,,,,
0.072738959,1.448436386,,,,,,,,,
0.072763213,1.448244138,,,,,,,,,
0.072786499,1.448056327,,,,,,,,,
0.072808797,1.447872822,,,,,,,,,
0.072830063,1.447693456,,,,,,,,,
0.072850258,1.447517982,,,,,,,,,
0.072869336,1.447346012,,,,,,,,,
0.072887204,1.447177077,,,,,,,,,
0.072903764,1.44701078,,,,,,,,,
0.072918942,1.446846814,,,,,,,,,
0.072932745,1.446685113,,,,,,,,,
0.07294523,1.446525741,,,,,,,,,
0.072956505,1.446368887,,,,,,,,,
0.07296671,1.446214867,,,,,,,,,
0.072975964,1.446064018,,,,,,,,,
0.072984302,1.44591673,,,,,,,,,
0.07299182,1.445773025,,,,,,,,,
0.072998593,1.445632845,,,,,,,,,
0.073004646,1.445496263,,,,,,,,,
0.07300999,1.445363392,,,,,,,,,
0.073014638,1.445234327,,,,,,,,,
0.073018635,1.445109165,,,,,,,,,
0.073022001,1.444988,,,,,,,,,
0.07302473,1.444870854,,,,,,,,,
0.073026815,1.444757694,,,,,,,,,
0.073028222,1.444648445,,,,,,,,,
0.073028885,1.444543026,,,,,,,,,
0.07302875,1.444441331,,,,,,,,,
0.073027807,1.44434318,,,,,,,,,
0.073026036,1.444248334,,,,,,,,,
0.073023401,1.4441566,,,,,,,,,
0.073019901,1.444067836,,,,,,,,,
0.073015549,1.443981902,,,,,,,,,
0.073010319,1.443898661,,,,,,,,,
0.07300419,1.443817994,,,,,,,,,
0.072997169,1.443739873,,,,,,,,,
0.072989296,1.443664252,,,,,,,,,
0.072980594,1.44359109,,,,,,,,,
0.072971061,1.443520334,,,,,,,,,
0.072960734,1.443452066,,,,,,,,,
0.072949647,1.443386354,,,,,,,,,
0.072937832,1.443323245,,,,,,,,,
0.07292532,1.443262841,,,,,,,,,
0.072912141,1.443205241,,,,,,,,,
0.072898339,1.443150475,,,,,,,,,
0.0728839,1.443098522,,,,,,,,,
0.072868854,1.443049402,,,,,,,,,
0.072853239,1.443003188,,,,,,,,,
0.072837083,1.442959904,,,,,,,,,
0.072820391,1.442919491,,,,,,,,,
0.072803169,1.442881857,,,,,,,,,
0.072785429,1.442846972,,,,,,,,,
0.07276718,1.442814791,,,,,,,,,
0.072748424,1.442785243,,,,,,,,,
0.072729149,1.442758197,,,,,,,,,
0.072709335,1.442733562,,,,,,,,,
0.07268898,1.442711262,,,,,,,,,
0.07266813,1.442691309,,,,,,,,,
0.072646774,1.442673572,,,,,,,,,
0.072624889,1.442657994,,,,,,,,,
0.072602488,1.442644569,,,,,,,,,
0.072579596,1.442633381,,,,,,,,,
0.072556242,1.442624407,,,,,,,,,
0.072532394,1.442617527,,,,,,,,,
0.072508073,1.442612734,,,,,,,,,
0.07248331,1.442610068,,,,,,,,,
0.07245812,1.442609574,,,,,,,,,
0.072432542,1.442611243,,,,,,,,,
0.072406592,1.442615025,,,,,,,,,
0.07238027,1.442620886,,,,,,,,,
0.07235358,1.442628794,,,,,,,,,
0.072326536,1.442638726,,,,,,,,,
0.072299143,1.442650664,,,,,,,,,
0.072271412,1.442664596,,,,,,,,,
0.072243359,1.442680514,,,,,,,,,
0.072214998,1.442698393,,,,,,,,,
0.072186357,1.442718242,,,,,,,,,
0.072157444,1.442740042,,,,,,,,,
0.072128275,1.442763789,,,,,,,,,
0.072098853,1.442789443,,,,,,,,,
0.07206917,1.442816915,,,,,,,,,
0.072039212,1.442846167,,,,,,,,,
0.072008969,1.442877116,,,,,,,,,
0.071978442,1.442909732,,,,,,,,,
0.071947613,1.44294394,,,,,,,,,
0.071916503,1.442979669,,,,,,,,,
0.071885134,1.443016899,,,,,,,,,
0.071853497,1.443055619,,,,,,,,,
0.071821577,1.443095718,,,,,,,,,
0.071789385,1.443137137,,,,,,,,,
0.071756932,1.44317985,,,,,,,,,
0.071724232,1.443223846,,,,,,,,,
0.071691294,1.443269139,,,,,,,,,
0.071658128,1.443315719,,,,,,,,,
0.071624743,1.443363589,,,,,,,,,
0.071591137,1.443412712,,,,,,,,,
0.07155731,1.443463039,,,,,,,,,
0.071523254,1.443514542,,,,,,,,,
0.07148897,1.443567185,,,,,,,,,
0.071454454,1.443620926,,,,,,,,,
0.071419701,1.443675721,,,,,,,,,
0.071384738,1.443731568,,,,,,,,,
0.071349638,1.443788512,,,,,,,,,
0.07131441,1.443846506,,,,,,,,,
0.071279065,1.443905521,,,,,,,,,
0.071243579,1.443965495,,,,,,,,,
0.071207899,1.444026301,,,,,,,,,
0.071172018,1.44408787,,,,,,,,,
0.071135979,1.444150208,,,,,,,,,
0.071099934,1.444213503,,,,,,,,,
0.071064291,1.444278254,,,,,,,,,
0.071029779,1.444345414,,,,,,,,,
0.0709961,1.444414564,,,,,,,,,
0.070961156,1.444482797,,,,,,,,,
0.070926786,1.444552556,,,,,,,,,
0.070892056,1.444622507,,,,,,,,,
0.070856011,1.444691301,,,,,,,,,
0.070818999,1.444759391,,,,,,,,,
0.070781459,1.444827318,,,,,,,,,
0.070743596,1.444895355,,,,,,,,,
0.070705507,1.444963553,,,,,,,,,
0.070667225,1.445031921,,,,,,,,,
0.070628761,1.445100435,,,,,,,,,
0.070590128,1.445169076,,,,,,,,,
0.070551327,1.445237774,,,,,,,,,
0.070512371,1.445306501,,,,,,,,,
0.070473259,1.445375204,,,,,,,,,
0.070433983,1.44544383,,,,,,,,,
0.070394539,1.445512326,,,,,,,,,
0.070354916,1.445580635,,,,,,,,,
0.070315115,1.445648743,,,,,,,,,
0.070275142,1.445716641,,,,,,,,,
0.070234989,1.445784223,,,,,,,,,
0.070194651,1.445851437,,,,,,,,,
0.070154134,1.445918288,,,,,,,,,
0.070113446,1.445984735,,,,,,,,,
0.070072587,1.446050706,,,,,,,,,
0.07003157,1.446116196,,,,,,,,,
0.069990395,1.446181162,,,,,,,,,
0.069949051,1.446245524,,,,,,,,,
0.069907534,1.446309212,,,,,,,,,
0.069865848,1.4463722,,,,,,,,,
0.069824005,1.446434491,,,,,,,,,
0.069782025,1.446496102,,,,,,,,,
0.069739916,1.44655701,,,,,,,,,
0.069697682,1.446617203,,,,,,,,,
0.069655322,1.446676675,,,,,,,,,
0.069612837,1.446735427,,,,,,,,,
0.069570269,1.446793427,,,,,,,,,
0.069527628,1.446850664,,,,,,,,,
0.06948491,1.446907115,,,,,,,,,
0.06944211,1.446962726,,,,,,,,,
0.069399217,1.447017426,,,,,,,,,
0.069356228,1.447071167,,,,,,,,,
0.069313153,1.447123915,,,,,,,,,
0.069269967,1.447175597,,,,,,,,,
0.069226669,1.447226169,,,,,,,,,
0.069183266,1.447275583,,,,,,,,,
0.069139766,1.447323821,,,,,,,,,
0.069096188,1.447370901,,,,,,,,,
0.069052551,1.447416861,,,,,,,,,
0.069008873,1.44746169,,,,,,,,,
0.068965163,1.447505388,,,,,,,,,
0.068921455,1.447547996,,,,,,,,,
0.068877777,1.447589543,,,,,,,,,
0.068834132,1.447630014,,,,,,,,,
0.068790524,1.447669402,,,,,,,,,
0.068746955,1.447707678,,,,,,,,,
0.068703427,1.447744806,,,,,,,,,
0.068659947,1.447780769,,,,,,,,,
0.06861651,1.44781551,,,,,,,,,
0.068573117,1.447849002,,,,,,,,,
0.068529772,1.44788123,,,,,,,,,
0.06848648,1.447912206,,,,,,,,,
0.068443245,1.447941919,,,,,,,,,
0.068400072,1.447970311,,,,,,,,,
0.068356967,1.447997371,,,,,,,,,
0.068313942,1.448023117,,,,,,,,,
0.068270994,1.448047502,,,,,,,,,
0.068228127,1.448070511,,,,,,,,,
0.068185351,1.44809215,,,,,,,,,
0.068142673,1.448112406,,,,,,,,,
0.068100091,1.448131251,,,,,,,,,
0.068057626,1.448148696,,,,,,,,,
0.068015277,1.448164737,,,,,,,,,
0.067973036,1.448179364,,,,,,,,,
0.067930932,1.448192609,,,,,,,,,
0.06788897,1.448204448,,,,,,,,,
0.067847152,1.448214882,,,,,,,,,
0.06780548,1.448223939,,,,,,,,,
0.067763973,1.448231621,,,,,,,,,
0.067722645,1.448237923,,,,,,,,,
0.06768151,1.448242853,,,,,,,,,
0.067640566,1.448246395,,,,,,,,,
0.067599832,1.448248594,,,,,,,,,
0.067559309,1.44824945,,,,,,,,,
