"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         160,      -4.581614683,      -3.700489408,      -3.543707648,      -2.094854106,      -10.00873204
          0,           0,         161,      -4.587496045,      -3.690904717,      -3.531564081,      -2.100850798,      -10.00605579
          0,           0,         162,      -4.593777401,       -3.68268393,      -3.521055344,       -2.10726849,      -10.00294128
          0,           0,         163,      -4.600314358,      -3.675951189,      -3.512300155,       -2.11396011,      -9.999412928
          0,           0,         164,      -4.606954409,      -3.670785898,      -3.505362395,      -2.120768991,      -9.995527703
          0,           0,         165,      -4.613541223,      -3.667233102,      -3.500265999,      -2.127533165,      -9.991302082
          0,           0,         166,      -4.619919595,      -3.665311471,       -3.49700582,      -2.134090463,      -9.986731651
          0,           0,         167,      -4.625940781,      -3.665019257,      -3.495555206,      -2.140284162,      -9.981835632
          0,           0,         168,        -4.6314678,      -3.666338293,      -3.495870958,      -2.145968793,      -9.976665869
          0,           0,         169,      -4.636380284,      -3.669236201,      -3.497896203,      -2.151015616,      -9.971271612
          0,           0,         170,      -4.640578437,      -3.673667121,      -3.501561574,      -2.155317291,      -9.965687926
          0,           0,         171,      -4.643985794,      -3.679571047,      -3.506784978,      -2.158791343,      -9.959947728
          0,           0,         172,      -4.646550656,       -3.68687176,      -3.513470067,      -2.161382178,      -9.954113083
          0,           0,         173,      -4.648246282,      -3.695473429,      -3.521503513,      -2.163061667,      -9.948215132
          0,           0,         174,      -4.649070081,      -3.705255953,      -3.530751174,      -2.163828468,      -9.942300673
          0,           0,         175,      -4.649042136,      -3.716069083,      -3.541053266,      -2.163706415,      -9.936498248
          0,           0,         176,        -4.6482034,      -3.727725671,      -3.552218852,      -2.162742329,      -9.930851762
          0,           0,         177,      -4.646613783,      -3.739994685,      -3.564020154,      -2.161003542,      -9.925286356
          0,           0,         178,      -4.644350246,      -3.752595088,      -3.576187647,      -2.158575327,      -9.919818639
          0,           0,         179,      -4.641504865,      -3.765192401,      -3.588407409,      -2.155558281,      -9.914455011
          0,           0,         180,      -4.638182766,      -3.777400464,      -3.600322712,      -2.152065634,       -9.90919838
          0,           0,         181,       -4.63449978,      -3.788791384,       -3.61154224,      -2.148220408,      -9.904103253
          0,           0,         182,      -4.630579736,      -3.798916385,      -3.621657096,      -2.144152356,      -9.899169524
          0,           0,         183,      -4.626551374,      -3.807338626,      -3.630267612,      -2.139994687,      -9.894393726
