"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
0.030607314,1.087252282,,,,,,,,,,,,,
0.030540775,1.087149917,,,,,,,,,,,,,
0.030474215,1.087043637,,,,,,,,,,,,,
0.030407599,1.086933849,,,,,,,,,,,,,
0.030340828,1.08682094,,,,,,,,,,,,,
0.030274032,1.086705331,,,,,,,,,,,,,
0.030207395,1.086587366,,,,,,,,,,,,,
0.030141008,1.086467284,,,,,,,,,,,,,
0.030074919,1.086345292,,,,,,,,,,,,,
0.03000936,1.086221671,,,,,,,,,,,,,
0.029944347,1.086096461,,,,,,,,,,,,,
0.029879773,1.085969535,,,,,,,,,,,,,
0.029815567,1.085840994,,,,,,,,,,,,,
0.029751768,1.085710818,,,,,,,,,,,,,
0.029688264,1.085578912,,,,,,,,,,,,,
0.029624985,1.085445378,,,,,,,,,,,,,
0.02956238,1.085310667,,,,,,,,,,,,,
0.029501958,1.085176438,,,,,,,,,,,,,
0.029442753,1.085041737,,,,,,,,,,,,,
0.029382975,1.084904825,,,,,,,,,,,,,
0.029323016,1.084766317,,,,,,,,,,,,,
0.02926353,1.084626939,,,,,,,,,,,,,
0.029204777,1.084487043,,,,,,,,,,,,,
0.029146853,1.08434692,,,,,,,,,,,,,
0.029089823,1.084206889,,,,,,,,,,,,,
0.029033729,1.084067226,,,,,,,,,,,,,
0.028978586,1.083928115,,,,,,,,,,,,,
0.028924439,1.083789733,,,,,,,,,,,,,
0.028871404,1.083652238,,,,,,,,,,,,,
0.028819479,1.083515785,,,,,,,,,,,,,
0.028768653,1.083380587,,,,,,,,,,,,,
0.028718978,1.08324688,,,,,,,,,,,,,
0.028670524,1.083114772,,,,,,,,,,,,,
0.028623316,1.082984105,,,,,,,,,,,,,
0.02857737,1.082855002,,,,,,,,,,,,,
0.028532636,1.082727534,,,,,,,,,,,,,
0.028489105,1.082601874,,,,,,,,,,,,,
0.028446795,1.082478152,,,,,,,,,,,,,
0.02840573,1.082356523,,,,,,,,,,,,,
0.028365923,1.082236985,,,,,,,,,,,,,
0.028327397,1.0821195,,,,,,,,,,,,,
0.028290096,1.082004082,,,,,,,,,,,,,
0.028253999,1.081890714,,,,,,,,,,,,,
0.028219102,1.081779347,,,,,,,,,,,,,
0.028185394,1.081670077,,,,,,,,,,,,,
0.028152844,1.081562946,,,,,,,,,,,,,
0.028121451,1.081457986,,,,,,,,,,,,,
0.028091227,1.081355304,,,,,,,,,,,,,
0.028062193,1.081255036,,,,,,,,,,,,,
0.028034345,1.081157178,,,,,,,,,,,,,
0.028007649,1.081061795,,,,,,,,,,,,,
0.027982129,1.080969166,,,,,,,,,,,,,
0.027957769,1.080879282,,,,,,,,,,,,,
0.027934536,1.080792036,,,,,,,,,,,,,
0.027912411,1.080707468,,,,,,,,,,,,,
0.027891372,1.080625663,,,,,,,,,,,,,
0.027871397,1.080546589,,,,,,,,,,,,,
0.027852453,1.080470227,,,,,,,,,,,,,
0.027834514,1.080396617,,,,,,,,,,,,,
0.02781756,1.08032586,,,,,,,,,,,,,
0.027801609,1.080258065,,,,,,,,,,,,,
0.02778665,1.080193271,,,,,,,,,,,,,
0.027772657,1.080131485,,,,,,,,,,,,,
0.027759597,1.080072671,,,,,,,,,,,,,
